DATE,VALUE
2000-12-01,7.18177
2000-12-04,7.18915
2000-12-05,7.22733
2000-12-06,7.20894
2000-12-07,7.20307
2000-12-08,7.22249
2000-12-11,7.22998
2000-12-12,7.22343
2000-12-13,7.21523
2000-12-14,7.20112
2000-12-15,7.17942
2000-12-18,7.18746
2000-12-19,7.17442
2000-12-20,7.14262
2000-12-21,7.15059
2000-12-22,7.17470
2000-12-26,7.18174
2000-12-27,7.19212
2000-12-28,7.19610
2000-12-29,7.18560
2001-01-02,7.15717
2001-01-03,7.20605
2001-01-04,7.19544
2001-01-05,7.16885
2001-01-08,7.16693
2001-01-09,7.17073
2001-01-10,7.18028
2001-01-11,7.19054
2001-01-12,7.18411
2001-01-16,7.19041
2001-01-17,7.19254
2001-01-18,7.20636
2001-01-19,7.20232
2001-01-22,7.20259
2001-01-23,7.21553
2001-01-24,7.21840
2001-01-25,7.21341
2001-01-26,7.21152
2001-01-29,7.21830
2001-01-30,7.22528
2001-01-31,7.21965
2001-02-01,7.22510
2001-02-02,7.20747
2001-02-05,7.21105
2001-02-06,7.20953
2001-02-07,7.20109
2001-02-08,7.19483
2001-02-09,7.18141
2001-02-12,7.19317
2001-02-13,7.18448
2001-02-14,7.18229
2001-02-15,7.19038
2001-02-16,7.17130
2001-02-20,7.15379
2001-02-21,7.13511
2001-02-22,7.13315
2001-02-23,7.12758
2001-02-26,7.14492
2001-02-27,7.13723
2001-02-28,7.12282
2001-03-01,7.12386
2001-03-02,7.11816
2001-03-05,7.12400
2001-03-06,7.13393
2001-03-07,7.14037
2001-03-08,7.14262
2001-03-09,7.11755
2001-03-12,7.07341
2001-03-13,7.08812
2001-03-14,7.06194
2001-03-15,7.06780
2001-03-16,7.04798
2001-03-19,7.06545
2001-03-20,7.04108
2001-03-21,7.02299
2001-03-22,7.01892
2001-03-23,7.03863
2001-03-26,7.04985
2001-03-27,7.07511
2001-03-28,7.05037
2001-03-29,7.04573
2001-03-30,7.05646
2001-04-02,7.04392
2001-04-03,7.00892
2001-04-04,7.00602
2001-04-05,7.04877
2001-04-06,7.02858
2001-04-09,7.03667
2001-04-10,7.06337
2001-04-11,7.06124
2001-04-12,7.07623
2001-04-16,7.07300
2001-04-17,7.08323
2001-04-18,7.12138
2001-04-19,7.13385
2001-04-20,7.12527
2001-04-23,7.11017
2001-04-24,7.09794
2001-04-25,7.11375
2001-04-26,7.11844
2001-04-27,7.13334
2001-04-30,7.13047
2001-05-01,7.14397
2001-05-02,7.14475
2001-05-03,7.12976
2001-05-04,7.14410
2001-05-07,7.14165
2001-05-08,7.13982
2001-05-09,7.13532
2001-05-10,7.13503
2001-05-11,7.12743
2001-05-14,7.13003
2001-05-15,7.13045
2001-05-16,7.15851
2001-05-17,7.16123
2001-05-18,7.16392
2001-05-21,7.17994
2001-05-22,7.17731
2001-05-23,7.16166
2001-05-24,7.16485
2001-05-25,7.15297
2001-05-29,7.14514
2001-05-30,7.12936
2001-05-31,7.13554
2001-06-01,7.13940
2001-06-04,7.14449
2001-06-05,7.15740
2001-06-06,7.14680
2001-06-07,7.15224
2001-06-08,7.14280
2001-06-11,7.13440
2001-06-12,7.13557
2001-06-13,7.12416
2001-06-14,7.10650
2001-06-15,7.10197
2001-06-18,7.09708
2001-06-19,7.10051
2001-06-20,7.10918
2001-06-21,7.12048
2001-06-22,7.11098
2001-06-25,7.10546
2001-06-26,7.10395
2001-06-27,7.09926
2001-06-28,7.11168
2001-06-29,7.11022
2001-07-02,7.12021
2001-07-03,7.11838
2001-07-05,7.10598
2001-07-06,7.08220
2001-07-09,7.08906
2001-07-10,7.07456
2001-07-11,7.07342
2001-07-12,7.09684
2001-07-13,7.10306
2001-07-16,7.09212
2001-07-17,7.10204
2001-07-18,7.09648
2001-07-19,7.10252
2001-07-20,7.09908
2001-07-23,7.08257
2001-07-24,7.06617
2001-07-25,7.08212
2001-07-26,7.09252
2001-07-27,7.09492
2001-07-30,7.09384
2001-07-31,7.09939
2001-08-01,7.10326
2001-08-02,7.10722
2001-08-03,7.10196
2001-08-06,7.09048
2001-08-07,7.09374
2001-08-08,7.07626
2001-08-09,7.07617
2001-08-10,7.08184
2001-08-13,7.08279
2001-08-14,7.07896
2001-08-15,7.07159
2001-08-16,7.07468
2001-08-17,7.05787
2001-08-20,7.06596
2001-08-21,7.05381
2001-08-22,7.06074
2001-08-23,7.05798
2001-08-24,7.07744
2001-08-27,7.07260
2001-08-28,7.05748
2001-08-29,7.04630
2001-08-30,7.02911
2001-08-31,7.03314
2001-09-04,7.03257
2001-09-05,7.03151
2001-09-06,7.00887
2001-09-07,6.99005
2001-09-10,6.99626
2001-09-17,6.94579
2001-09-18,6.93997
2001-09-19,6.92373
2001-09-20,6.89217
2001-09-21,6.87296
2001-09-24,6.91120
2001-09-25,6.91995
2001-09-26,6.91477
2001-09-27,6.92619
2001-09-28,6.94788
2001-10-01,6.94558
2001-10-02,6.95781
2001-10-03,6.97754
2001-10-04,6.97507
2001-10-05,6.97670
2001-10-08,6.96832
2001-10-09,6.96295
2001-10-10,6.98563
2001-10-11,7.00073
2001-10-12,6.99545
2001-10-15,6.99391
2001-10-16,7.00083
2001-10-17,6.98202
2001-10-18,6.97411
2001-10-19,6.97866
2001-10-22,6.99384
2001-10-23,6.98913
2001-10-24,6.98952
2001-10-25,7.00315
2001-10-26,7.00725
2001-10-29,6.98314
2001-10-30,6.96583
2001-10-31,6.96582
2001-11-01,6.98851
2001-11-02,6.99136
2001-11-05,7.00564
2001-11-06,7.02007
2001-11-07,7.01733
2001-11-08,7.01978
2001-11-09,7.02136
2001-11-12,7.01959
2001-11-13,7.03798
2001-11-14,7.03984
2001-11-15,7.04075
2001-11-16,7.03760
2001-11-19,7.04844
2001-11-20,7.04111
2001-11-21,7.03617
2001-11-23,7.04781
2001-11-26,7.05395
2001-11-27,7.04708
2001-11-28,7.02866
2001-11-29,7.03896
2001-11-30,7.03830
2001-12-03,7.02988
2001-12-04,7.04299
2001-12-05,7.06506
2001-12-06,7.06228
2001-12-07,7.05472
2001-12-10,7.03872
2001-12-11,7.03594
2001-12-12,7.03621
2001-12-13,7.02053
2001-12-14,7.02384
2001-12-17,7.03382
2001-12-18,7.04134
2001-12-19,7.04713
2001-12-20,7.03872
2001-12-21,7.04306
2001-12-24,7.04285
2001-12-26,7.04697
2001-12-27,7.05370
2001-12-28,7.05705
2001-12-31,7.04585
2002-01-02,7.05157
2002-01-03,7.06071
2002-01-04,7.06690
2002-01-07,7.06038
2002-01-08,7.05679
2002-01-09,7.05198
2002-01-10,7.05320
2002-01-11,7.04368
2002-01-14,7.03739
2002-01-15,7.04420
2002-01-16,7.02782
2002-01-17,7.03780
2002-01-18,7.02783
2002-01-22,7.02047
2002-01-23,7.02836
2002-01-24,7.03187
2002-01-25,7.03287
2002-01-28,7.03268
2002-01-29,7.00365
2002-01-30,7.01533
2002-01-31,7.03015
2002-02-01,7.02305
2002-02-04,6.99800
2002-02-05,6.99395
2002-02-06,6.98796
2002-02-07,6.98487
2002-02-08,6.99962
2002-02-11,7.01386
2002-02-12,7.00986
2002-02-13,7.01975
2002-02-14,7.01794
2002-02-15,7.00686
2002-02-19,6.98780
2002-02-20,7.00123
2002-02-21,6.98560
2002-02-22,6.99379
2002-02-25,7.01160
2002-02-26,7.01156
2002-02-27,7.01202
2002-02-28,7.00917
2002-03-01,7.03155
2002-03-04,7.05085
2002-03-05,7.04416
2002-03-06,7.05856
2002-03-07,7.05405
2002-03-08,7.05988
2002-03-11,7.06327
2002-03-12,7.06097
2002-03-13,7.05107
2002-03-14,7.05016
2002-03-15,7.06147
2002-03-18,7.06095
2002-03-19,7.06501
2002-03-20,7.04912
2002-03-21,7.05063
2002-03-22,7.04639
2002-03-25,7.03163
2002-03-26,7.03746
2002-03-27,7.04279
2002-03-28,7.04525
2002-04-01,7.04450
2002-04-02,7.03594
2002-04-03,7.02589
2002-04-04,7.02673
2002-04-05,7.02352
2002-04-08,7.02580
2002-04-09,7.01912
2002-04-10,7.03039
2002-04-11,7.00641
2002-04-12,7.01302
2002-04-15,7.00538
2002-04-16,7.02853
2002-04-17,7.02649
2002-04-18,7.02507
2002-04-19,7.02569
2002-04-22,7.01016
2002-04-23,7.00394
2002-04-24,6.99681
2002-04-25,6.99529
2002-04-26,6.98130
2002-04-29,6.97115
2002-04-30,6.98186
2002-05-01,6.99068
2002-05-02,6.98893
2002-05-03,6.97861
2002-05-06,6.95909
2002-05-07,6.95606
2002-05-08,6.99288
2002-05-09,6.97822
2002-05-10,6.96129
2002-05-13,6.97967
2002-05-14,7.00059
2002-05-15,6.99491
2002-05-16,7.00146
2002-05-17,7.00904
2002-05-20,6.99566
2002-05-21,6.98461
2002-05-22,6.99027
2002-05-23,7.00041
2002-05-24,6.98825
2002-05-28,6.97966
2002-05-29,6.97322
2002-05-30,6.97041
2002-05-31,6.97274
2002-06-03,6.94763
2002-06-04,6.94764
2002-06-05,6.95645
2002-06-06,6.93649
2002-06-07,6.93491
2002-06-10,6.93803
2002-06-11,6.92126
2002-06-12,6.92781
2002-06-13,6.91727
2002-06-14,6.91500
2002-06-17,6.94329
2002-06-18,6.94422
2002-06-19,6.92755
2002-06-20,6.91403
2002-06-21,6.89684
2002-06-24,6.90045
2002-06-25,6.88361
2002-06-26,6.88093
2002-06-27,6.89835
2002-06-28,6.89751
2002-07-01,6.87590
2002-07-02,6.85445
2002-07-03,6.86065
2002-07-05,6.89672
2002-07-08,6.88447
2002-07-09,6.85944
2002-07-10,6.82488
2002-07-11,6.83235
2002-07-12,6.82588
2002-07-15,6.82212
2002-07-16,6.80356
2002-07-17,6.80908
2002-07-18,6.78169
2002-07-19,6.74260
2002-07-22,6.70912
2002-07-23,6.68173
2002-07-24,6.73747
2002-07-25,6.73183
